Title,Year,Rating10,WatchedDate,Review
Knockin' on Heaven's Door,1997,9,2022-05-06,
Edward Scissorhands,1990,8,2022-05-06,
Eternal Sunshine of the Spotless Mind,2004,7,2022-05-06,
Melancholia,2011,8,2022-05-07,
Vanilla Sky,2001,9,2022-05-07,
The Flowers of War,2011,7,2022-05-08,
Rain Man,1988,7,2022-05-08,
The Green Mile,1999,7,2022-05-08,
The Devil's Advocate,1997,8,2022-05-08,
The Basketball Diaries,1995,8,2022-05-08,
Fallen Angels,1995,9,2022-05-09,
The Wolf of Wall Street,2013,10,2022-05-09,
Lucy,2014,6,2022-05-09,
Dogville,2003,8,2022-05-09,
The Butterfly Effect,2004,6,2022-05-09,
A Beautiful Mind,2001,9,2022-05-10,
Dark City,1998,6,2022-05-10,
Arrival,2016,7,2022-05-13,
Tenet,2020,8,2022-05-14,
The Gentlemen,2020,9,2022-06-28,
12 Years a Slave,2013,8,2022-06-28,
Catch Me If You Can,2002,7,2022-06-28,
War of the Worlds,2005,7,2022-06-29,
Apocalypse Now,1979,7,2022-06-30,
